organism,year,rate,source
Acinetobacter spp.,2019,2,Edited from ESPAUR report 2024 table 2.1
Acinetobacter spp.,2020,2,Edited from ESPAUR report 2024 table 2.1
Acinetobacter spp.,2021,2,Edited from ESPAUR report 2024 table 2.1
Acinetobacter spp.,2022,2,Edited from ESPAUR report 2024 table 2.1
Acinetobacter spp.,2023,2,Edited from ESPAUR report 2024 table 2.1
E. coli,2019,78,Edited from ESPAUR report 2024 table 2.1
E. coli,2020,67,Edited from ESPAUR report 2024 table 2.1
E. coli,2021,67,Edited from ESPAUR report 2024 table 2.1
E. coli,2022,67,Edited from ESPAUR report 2024 table 2.1
E. coli,2023,72,Edited from ESPAUR report 2024 table 2.1
Enterococcus spp.,2019,14,Edited from ESPAUR report 2024 table 2.1
Enterococcus spp.,2020,13,Edited from ESPAUR report 2024 table 2.1
Enterococcus spp.,2021,16,Edited from ESPAUR report 2024 table 2.1
Enterococcus spp.,2022,15,Edited from ESPAUR report 2024 table 2.1
Enterococcus spp.,2023,15,Edited from ESPAUR report 2024 table 2.1
K. oxytoca,2019,3,Edited from ESPAUR report 2024 table 2.1
K. oxytoca,2020,3,Edited from ESPAUR report 2024 table 2.1
K. oxytoca,2021,3,Edited from ESPAUR report 2024 table 2.1
K. oxytoca,2022,3,Edited from ESPAUR report 2024 table 2.1
K. oxytoca,2023,3,Edited from ESPAUR report 2024 table 2.1
K. pneumoniae,2019,13,Edited from ESPAUR report 2024 table 2.1
K. pneumoniae,2020,12,Edited from ESPAUR report 2024 table 2.1
K. pneumoniae,2021,13,Edited from ESPAUR report 2024 table 2.1
K. pneumoniae,2022,13,Edited from ESPAUR report 2024 table 2.1
K. pneumoniae,2023,15,Edited from ESPAUR report 2024 table 2.1
Pseudomonas spp.,2019,8,Edited from ESPAUR report 2024 table 2.1
Pseudomonas spp.,2020,7,Edited from ESPAUR report 2024 table 2.1
Pseudomonas spp.,2021,8,Edited from ESPAUR report 2024 table 2.1
Pseudomonas spp.,2022,8,Edited from ESPAUR report 2024 table 2.1
Pseudomonas spp.,2023,8,Edited from ESPAUR report 2024 table 2.1
S. aureus,2019,24,Edited from ESPAUR report 2024 table 2.1
S. aureus,2020,22,Edited from ESPAUR report 2024 table 2.1
S. aureus,2021,23,Edited from ESPAUR report 2024 table 2.1
S. aureus,2022,24,Edited from ESPAUR report 2024 table 2.1
S. aureus,2023,25,Edited from ESPAUR report 2024 table 2.1
S. pneumoniae,2019,9,Edited from ESPAUR report 2024 table 2.1
S. pneumoniae,2020,4,Edited from ESPAUR report 2024 table 2.1
S. pneumoniae,2021,4,Edited from ESPAUR report 2024 table 2.1
S. pneumoniae,2022,6,Edited from ESPAUR report 2024 table 2.1
S. pneumoniae,2023,7,Edited from ESPAUR report 2024 table 2.1
