year,resistant_count,resistant_perc,source
2011,93,4.3,Edited from ESPAUR report 2024 table 2.13
2012,88,2.3,Edited from ESPAUR report 2024 table 2.13
2013,79,1.3,Edited from ESPAUR report 2024 table 2.13
2014,62,6.5,Edited from ESPAUR report 2024 table 2.13
2015,55,1.8,Edited from ESPAUR report 2024 table 2.13
2016,61,1.6,Edited from ESPAUR report 2024 table 2.13
2017,56,1.8,Edited from ESPAUR report 2024 table 2.13
2018,45,4.4,Edited from ESPAUR report 2024 table 2.13
2019,51,0,Edited from ESPAUR report 2024 table 2.13
2020,54,0,Edited from ESPAUR report 2024 table 2.13
2021,50,0,Edited from ESPAUR report 2024 table 2.13
2022,43,2.3,Edited from ESPAUR report 2024 table 2.13
2023,67,0,Edited from ESPAUR report 2024 table 2.13
