Data name,diab.csv; diab_excel.xlsx; diab_stata.dta,,,
Data source,completely simulated by Andrea Mazzella,,,
Data time,created in April 202,,,
Data location,https://github.com/andreamazzella/IntRo,,,
,,,,
Data description,Three simulated datasets containing data on personal demographics and diabetes-related factors for a sample of the world's population. Used for R teaching purposes.,,,
,,,,
Data dictionary for diab.csv,,,,
variable_name,variable_label,type,values,value_labels
ID,sequential ID number of the person,ordered,1; 2; 3; ...,.
Gender,gender,categorical,1; 2; 3,1: female; 2: male; 3: non-binary
CisTrans,whether gender corresponds to sex,categorical,cis; trans; NA,NA: missing value
DOB,date of birth,date,13/05/1942 - 27/12/2005,format: dd/mm/yyyy
ht,height,numeric,117-205,unit: cm
wt,weight,numeric,27-120,unit: cm
BMI,body mass index,numeric,17-34,unit: kg/m^2
Religion,religion,categorical,"""atheist""; ""buddhist""; ""christian""; ""folk""; ""hindu""; ""jewish""; ""muslim""; ""NA""",NA: missing value
SexualOrientation,sexual orientation,categorical,ace; bi; hetero; homo; NA; other,"""ace"": asexual; ""bi"": bisexual; ""hetero"": heterosexual; ""homo"": homosexual; ""NA"": missing value; ""other"": other sexual orientation"
Continent,continent of origin,categorical,africa; asia; europe; n_america; oceania; s_america,africa: Africa; asia: Asia; europe: Europe; n_america: North America; oceania: Oceania; s_america: South America
Diet,diet,categorical,NA; omni; pescatar; vegan; vegetar,"NA: missing value; ""omni"": omnivorous; ""pescatar"": pescatarian; ""vegan"": vegan; ""vegetar"": vegetarian"
Exercise,physical exercise,categorical,NA; none; sporadic; regular,"NA: missing value; ""none"": exercise less than once a week; ""sporadic"": exercises 1-2 times a week; ""regular"": exercises >2 times a week"
ExerciseWeekly,mean weekly duration of physical exercise,numeric,0-270; NA,NA: missing value
Diabetes,diagnosis of type 2 diabetes mellitus,categorical,0; 1; 999,0: not diabetic; 1: diabetic; 999: missing value
Disability,physical disability,categorical,0; 1; 2; 999,0: able-bodied; 1: mildly disabled; 2: severely disabled; 999: missing value
